time,waist,shoulder,elbow,forearm_roll,wrist_angle,wrist_rotate,waist_d,shoulder_d,elbow_d,forearm_roll_d,wrist_angle_d,wrist_rotate_d,gripper
0.89,0,-4.21650783732908e-08,8.20819333584022e-05,0,3.17985233804985e-05,0,0,-3.91848174640816e-07,0.000373346353210131,0,0.000144636949943445,0,0.026
0.9,0,-4.60835601345799e-08,8.58153968905095e-05,0,3.3244892879933e-05,0,0,-4.23270041379435e-07,0.000385881376446424,0,0.000149493347672475,0,0.026
0.91,0,-5.03162605469676e-08,8.9674210655033e-05,0,3.47398263566577e-05,0,0,-4.56818458822057e-07,0.00039869022972975,0,0.00015445585366644,0,0.026
0.92,0,-5.48844451553343e-08,9.36611129522258e-05,0,3.62843848933221e-05,0,0,-4.92611113925015e-07,0.000411775693986329,0,0.0001595255468245,0,0.026
0.93,0,-5.98105562854556e-08,9.77788698920956e-05,0,3.78796403615671e-05,0,0,-5.30770773519176e-07,0.000425140544316757,0,0.00016470350385865,0,0.026
0.94,0,-6.51182640032388e-08,0.000102030275335341,0,3.95266754001536e-05,0,0,-5.71425478686013e-07,0.000438787549889389,0,0.000169990799254655,0,0.026
0.95,0,-7.08325187948056e-08,0.000106418150834287,0,4.12265833927002e-05,0,0,-6.14708605271034e-07,0.000452719474093316,0,0.000175388505333587,0,0.026
0.96,0,-7.69796048571969e-08,0.000110945345575153,0,4.29804684460361e-05,0,0,-6.60759101668684e-07,0.00046693907450959,0,0.000180897692243011,0,0.026
0.97,0,-8.35871958870804e-08,0.000115614736320324,0,4.47894453684662e-05,0,0,-7.09721614972346e-07,0.000481449103045476,0,0.000186519428011365,0,0.026
0.98,0,-9.06844120351913e-08,0.000120429227350838,0,4.66546396485798e-05,0,0,-7.61746772152647e-07,0.00049625230601899,0,0.000192254778583135,0,0.026
0.99,0,-9.83018797473534e-08,0.000125391750411097,0,4.85771874344112e-05,0,0,-8.16991083086708e-07,0.000511351423992436,0,0.000198104807756834,0,0.026
1,0,-1.06471790550788e-07,0.000130505264650915,0,5.05582355119795e-05,0,0,-8.75617465031194e-07,0.000526749192177306,0,0.000204070577344384,0,0.026
1.01,0,-1.15227965225007e-07,0.000135772756572672,0,5.25989412854233e-05,0,0,-9.37795100209564e-07,0.000542448340199744,0,0.000210153147082822,0,0.026
1.02,0,-1.24605916251852e-07,0.000141197239974689,0,5.47004727562516e-05,0,0,-1.00369982597548e-06,0.000558451592409745,0,0.000216353574756709,0,0.026
1.03,0,-1.34642914484395e-07,0.000146781755898828,0,5.68640085038187e-05,0,0,-1.07351425796806e-06,0.000574761667763996,0,0.000222672916155403,0,0.026
1.04,0,-1.45378057037071e-07,0.000152529372576538,0,5.90907376653727e-05,0,0,-1.14742786821917e-06,0.000591381280019548,0,0.000229112225150815,0,0.026
1.05,0,-1.56852335730928e-07,0.000158443185376667,0,6.13818599168808e-05,0,0,-1.22563735165636e-06,0.000608313137735991,0,0.000235672553701023,0,0.026
